WKT,alt_name,latitude,longtitude
"POINT (97.0253 4.36855)",ACEH,4.36855,97.0253
"POINT (99.38122 2.19235)",SUMATERA UTARA,2.19235,99.38122
"POINT (100.0761 -1.34225)",SUMATERA BARAT,-1.34225,100.0761
"POINT (101.54758 0.50041)",RIAU,0.50041,101.54758
"POINT (102.7797 -1.61157)",JAMBI,-1.61157,102.7797
"POINT (104.09306 -3.12668)",SUMATERA SELATAN,-3.12668,104.09306
"POINT (102.53598 -3.51868)",BENGKULU,-3.51868,102.53598
"POINT (105.0273 -4.8555)",LAMPUNG,-4.8555,105.0273
"POINT (107.58394 -2.75775)",KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394
"POINT (104.58037 -0.15478)",KEPULAUAN RIAU,-0.15478,104.58037
"POINT (106.8227 6.1745)",DKI JAKARTA,6.1745,106.8227
"POINT (107.64047 -6.88917)",JAWA BARAT,-6.88917,107.64047
"POINT (110.00441 -7.30324)",JAWA TENGAH,-7.30324,110.00441
"POINT (110.3695 7.7956)",DI YOGYAKARTA,7.7956,110.3695
"POINT (113.98005 -6.96851)",JAWA TIMUR,-6.96851,113.98005
"POINT (106.13756 -6.44538)",BANTEN,-6.44538,106.13756
"POINT (115.12239 -8.23566)",BALI,-8.23566,115.12239
"POINT (117.63696 -8.12179)",NUSA TENGGARA BARAT,-8.12179,117.63696
"POINT (120.69786 -8.56568)",NUSA TENGGARA TIMUR,-8.56568,120.69786
"POINT (111.09689 -0.13224)",KALIMANTAN BARAT,-0.13224,111.09689
"POINT (113.29033 -1.49958)",KALIMANTAN TENGAH,-1.49958,113.29033
"POINT (115.37565 -2.94348)",KALIMANTAN SELATAN,-2.94348,115.37565
"POINT (116.242 0.78844)",KALIMANTAN TIMUR,0.78844,116.242
"POINT (116.911 2.72594)",KALIMANTAN UTARA,2.72594,116.911
"POINT (124.09015 0.65557)",SULAWESI UTARA,0.65557,124.09015
"POINT (120.80886 -1.69378)",SULAWESI TENGAH,-1.69378,120.80886
"POINT (119.94719 -3.64467)",SULAWESI SELATAN,-3.64467,119.94719
"POINT (121.72796 -3.54912)",SULAWESI TENGGARA,-3.54912,121.72796
"POINT (122.45559 0.71862)",GORONTALO,0.71862,122.45559
"POINT (119.3919 -2.49745)",SULAWESI BARAT,-2.49745,119.3919
"POINT (129.42078 -3.11884)",MALUKU,-3.11884,129.42078
"POINT (127.97202 0.63012)",MALUKU UTARA,0.63012,127.97202
"POINT (132.90253 -1.38424)",PAPUA BARAT,-1.38424,132.90253
"POINT (138.34853 -3.98857)",PAPUA,-3.98857,138.34853
"POINT (130.5497374 -2.706768396)",ACEH,-2.706768396,130.5497374
